"baseMean"	"log2FoldChange"	"stat"	"pvalue"	"padj"
"ENSG00000273547"	0.216672954903261	-0.0201838052169238	-0.250927711653034	0.801869998891357	NA
"ENSG00000187634"	10.0038210657635	-0.445662073951171	1.65465890019555	0.0979937084722699	NA
"ENSG00000188976"	3652.09114860724	0.90447511613347	8.39315254955685	4.73276866509779e-17	4.3343732754125e-15
"ENSG00000187961"	352.305055413382	0.110926686044897	0.261987426066511	0.793331136257402	0.881984752880828
"ENSG00000187583"	131.237924073363	-0.401655710536821	-0.99260991783963	0.320900089634893	0.511601792333548
"ENSG00000187642"	13.9269003474378	-0.960643856490082	-2.02073392254965	0.0433073162479293	0.123916568703416
"ENSG00000188290"	223.361254956483	0.143847442915459	-1.59464975070016	0.110790580667482	0.246691232989993
"ENSG00000187608"	2328.17261044288	-1.66853690786783	0.356108583881916	0.721759249059089	0.836857693302903
"ENSG00000188157"	1316.49093543871	-0.517907651848118	-2.5869099730801	0.00968408904012845	0.0384321713123894
"ENSG00000237330"	3.27799575806745	0.682122058369994	1.70956217195468	0.0873468657640412	NA
"ENSG00000131591"	944.078271388736	0.54770391840426	-0.865937312924926	0.386524539659559	0.576044139711729
"ENSG00000162571"	0.903277704275169	0.0140322251284734	-0.223986875589079	0.822767515566263	NA
"ENSG00000186891"	247.459803341278	0.966200577675554	2.50057337894562	0.0123992443355199	0.0466751959488279
"ENSG00000186827"	1.50335146067097	0.0532570448499436	0.24950999171639	0.802966312990955	NA
"ENSG00000078808"	4644.55647419707	-0.283413214097885	-1.27833484459493	0.201131386781463	0.374668531793947
"ENSG00000176022"	1717.25697713399	-0.0409465075434318	3.99653782573224	6.42756153518726e-05	0.000575253850649189
"ENSG00000184163"	3.85689932163334	-0.0494444166810289	2.02892981816007	0.0424654391453568	NA
"ENSG00000160087"	2852.09534457108	0.259239522180862	4.44830888357026	8.65490088315444e-06	9.80717624649644e-05
"ENSG00000162572"	119.806373487382	-0.765202238545138	3.91023228275813	9.22074073305421e-05	0.000773466275669183
"ENSG00000131584"	1218.24964181113	-0.406549081081633	-3.95288762443549	7.72137048263939e-05	0.00067087812509777
"ENSG00000169972"	563.784913281283	0.478671372875677	-2.01016748818605	0.0444134651515514	0.126324705922441
"ENSG00000127054"	2074.14994046547	0.652674974198988	1.11876308076602	0.263241225879142	0.448496232317788
"ENSG00000224051"	2204.71037490441	-0.309401262951355	-0.922977484161063	0.356018939029375	0.547289420609992
"ENSG00000169962"	67.2540696728199	-2.40721807577983	0.949570022861967	0.342330776410288	0.532864355224908
"ENSG00000107404"	2159.82604960449	0.117008133610002	-3.37368620963368	0.000741688629762035	0.00460191121510356
"ENSG00000162576"	200.127695196685	-0.492999890386158	0.110821145389814	0.911758177038212	0.950212150693943
"ENSG00000175756"	4358.29303857834	0.582623311152603	2.02446754705244	0.0429220678430011	0.123051236948707
"ENSG00000221978"	6140.25891357871	-0.972635127220271	-0.914972718670279	0.360205952333008	0.551535948233407
"ENSG00000242485"	2102.69151699633	0.837560813911992	2.82809377277982	0.00468260880572969	0.0213253277729604
"ENSG00000235098"	1.64978380943325	-0.0797103379432733	-0.271891041421219	0.785705799759451	NA
"ENSG00000179403"	118.927326768488	0.318402073978506	0.0752874106696308	0.939986037883961	0.966496804600508
"ENSG00000215915"	2.43839681601044	-0.0623787599122801	-0.392569702690304	0.694637320415913	NA
"ENSG00000160072"	1140.26560146119	1.32463814048608	3.74268489985632	0.000182064473959627	0.00137225709205985
"ENSG00000197785"	1796.61626774167	0.952173072101115	-2.29245118021469	0.021879621591232	0.0737465138130485
"ENSG00000205090"	1.82469624743187	-0.193622974267598	0.371040048194556	0.71060770321028	NA
"ENSG00000160075"	6914.23094030462	0.247598630522206	1.17229845374803	0.241077252194857	0.422552165009422
"ENSG00000228594"	57.4513197711947	-0.589536582060743	1.48796667371283	0.136759682693782	0.286621451485434
"ENSG00000197530"	1618.72175684788	-0.67274286906509	-1.11252357110025	0.265913101295487	0.451724568342263
"ENSG00000189409"	11.7857152327027	-0.382120619519734	0.782267108453501	0.434057612653416	0.617949780535437
"ENSG00000248333"	371.896144783026	0.259272688383106	0.482638683445024	0.629352307327282	0.772672116158332
"ENSG00000189339"	1506.52815131922	-1.38841805796726	-4.61789426358834	3.87653679783494e-06	4.81273663174103e-05
"ENSG00000008128"	16.6029760751892	0.174036123522381	-0.0772033034041558	0.938461813756097	0.965466870180255
"ENSG00000215790"	58.61490486069	-1.47424937401804	-2.06356957557341	0.0390585447352437	0.11468581851952
"ENSG00000008130"	1581.7488640182	0.431625920839596	-0.754973221673509	0.45026504972797	0.631079033533824
"ENSG00000078369"	11794.9064144766	0.234655359888701	-3.0114442839589	0.00260008113866599	0.0132038301956335
"ENSG00000169885"	1.61601542909561	0.368437945239377	1.65946829284049	0.0970214647322375	NA
"ENSG00000178821"	136.541258022663	0.916060817344733	2.6550170904919	0.00793043905433796	0.0329412552331633
"ENSG00000142609"	9.6162170788355	0.291062480448267	0.0646545789654213	0.948449027845375	NA
"ENSG00000187730"	1.37659101833173	0.0520386580786102	0.000894273028060295	0.999286473452872	NA
"ENSG00000067606"	407.815004079007	-0.232118391219709	-2.37077353123093	0.0177509038806665	0.0622274364841536
"ENSG00000162585"	1009.46221395519	-0.236955490114707	2.25030116321031	0.0244298341552517	0.0801199200713871
"ENSG00000157933"	144.863019013611	-0.405898793144649	-1.23751026085593	0.215897707357657	0.392609590857522
"ENSG00000116151"	282.673827936029	-0.792801486351463	1.85416909593902	0.0637149719092331	0.165520281600613
"ENSG00000157916"	7321.83250835861	0.118267943940512	4.90456998268349	9.36322351708707e-07	1.36676486514161e-05
"ENSG00000157911"	923.010804241903	-0.0793007060483113	-3.01813817946451	0.00254332907978508	0.0130045327440942
"ENSG00000149527"	552.789899370752	-3.064525669664	-0.182344821862368	0.855312125501563	0.917932061235957
"ENSG00000157881"	1229.89085751607	-0.254670796008089	-3.64062765876585	0.000271974216003767	0.00195409309091154
"ENSG00000197921"	0.225623045687882	0.027093838842921	0.214775105922886	0.829942662573529	NA
"ENSG00000157873"	187.206366892554	-1.34687370133039	-0.199367632303496	0.841975177900122	0.910109143387432
"ENSG00000157870"	1632.98019316692	0.185047055933266	-4.32872782733946	1.49973137059744e-05	0.000160295029226686
"ENSG00000142606"	2.16204671810844	-0.0292237631544353	0.83262442692958	0.405056578246533	NA
"ENSG00000215912"	8.81524932845297	-0.130972738624652	0.823559161196548	0.410190088676658	NA
"ENSG00000169717"	1.41725963092943	-0.0422175456754746	0.0237048334146429	0.981088050582989	NA
"ENSG00000142611"	4.7471052915726	0.315140977372181	0.187746374561927	0.851075474979796	NA
"ENSG00000130762"	32.6691437828468	0.234942669994956	1.21907069484735	0.22281736149036	0.400388515050075
"ENSG00000162591"	408.627533977206	-2.69434698093453	-7.43585535005564	1.0389347742797e-13	5.9113178156995e-12
"ENSG00000158109"	2132.08954564864	-1.03191984158137	-0.0217839552881156	0.982620292976342	0.990464978057074
"ENSG00000116213"	1898.03645875745	0.130769483914763	9.41497054783999	4.73215047323509e-21	7.44395105619134e-19
"ENSG00000078900"	37.1999543420667	-0.0121434875623796	1.43048180329877	0.152578784772863	0.309626791804211
"ENSG00000162592"	142.462616676161	-0.583833881769768	1.1400332783981	0.254272437089453	0.438570317305136
"ENSG00000235169"	29.9821388041737	-1.20953839533322	0.0419485060062641	0.966539748203312	0.981962082913645
"ENSG00000130764"	1929.32305071192	0.132191209470557	3.10652371339035	0.00189301125022535	0.0101530097981401
"ENSG00000116198"	2656.05698030554	0.052803459410761	-2.28455236475701	0.0223390887954038	0.0749174708511023
"ENSG00000169598"	340.869479595874	0.212894934374972	-0.60009340401037	0.54844398821597	0.714114769348109
"ENSG00000198912"	1983.94044452	0.839655317918193	0.930611654133841	0.35205448385293	0.543382258293608
"ENSG00000196581"	16.2125754957633	0.64933897509592	0.846325092821694	0.397371413312541	0.585784706672208
"ENSG00000131697"	372.579427372754	-0.0926563769298054	-2.21076889712089	0.0270518447071083	0.0867826812808889
"ENSG00000069424"	360.902479323378	-0.745178213615457	-1.61781602565498	0.105702251664443	0.238781011489318
"ENSG00000116254"	5.00616858468393	-0.764089610505666	-1.88578205076567	0.059324330668077	NA
"ENSG00000116251"	757.042637574518	0.697590108978671	-0.0351738087581129	0.971941146887184	0.984718885741675
"ENSG00000158286"	546.815675688274	-0.368507876409599	0.283270635467331	0.776969385287371	0.872500012654525
"ENSG00000116237"	7917.63132157975	0.1093588094135	-1.52485347231659	0.127295649158946	0.27246200174552
"ENSG00000158292"	5613.17238714185	-3.5101920586986	-11.3440077282329	7.94220363102142e-30	3.31860014844961e-27
"ENSG00000097021"	2994.70132036851	0.30708854747441	-2.83234699045619	0.00462076751335643	0.0210939851215735
