"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000158292"	5613.17238714185	0.420023756429514	0.0979371780469445	4.28776303336959	1.80481479562366e-05	0.00915138045400644
"ENSG00000198830"	5220.14461720279	-0.407860815299944	0.0904585122849061	-4.50936250387414	6.5022720440819e-06	0.00540838981635827
"ENSG00000126709"	659.77377005373	0.955362439473094	0.184849291317356	5.15464442013874	2.5411265410508e-07	0.000457953354806372
"ENSG00000137959"	409.82134109915	0.826263339840129	0.227236103767806	3.61741396459619	0.000297561192682828	0.0558226035210024
"ENSG00000121851"	261.698510489833	-0.674231843554836	0.202075307872307	-3.33895483775011	0.000840942350190363	0.0937433982743134
"ENSG00000265972"	2438.85896096097	-0.471883661162394	0.143264103046679	-3.29352234415993	0.000989404773176565	0.0987074835581512
"ENSG00000196154"	888.782192022148	1.14413985980843	0.280055795514405	4.06851399153918	4.73139204224264e-05	0.0170535140509232
"ENSG00000160710"	7470.3706671089	0.333315035763042	0.0825577500150567	4.03712900462563	5.4109317719436e-05	0.0188736791129117
"ENSG00000116679"	2149.75806221509	0.41995281678281	0.121596943147325	3.45334693732531	0.00055367641396627	0.0767551674899651
"ENSG00000162909"	14282.0093044176	0.340189519471959	0.095680434660441	3.55547821561079	0.000377292206989943	0.0637446974090976
"ENSG00000134321"	99.5512453964144	1.10178176117559	0.27926846425343	3.88302879345786	0.000103163346438849	0.0272074454888603
"ENSG00000115756"	6398.66896804591	0.494815313118457	0.135260904242699	3.65795048653075	0.000254240144825305	0.0499836124726549
"ENSG00000162976"	471.476720506851	-0.592158264264118	0.167816848554394	-3.52648389725929	0.000421116772576868	0.0640323448237384
"ENSG00000071575"	996.99534018287	0.673763795159447	0.157676968155501	4.27216496252445	1.93584278987675e-05	0.00915138045400644
"ENSG00000059728"	649.680654425929	0.612302728077311	0.163194678173578	3.74787952747626	0.000178335869274144	0.0393539949890064
"ENSG00000163492"	234.914600251197	0.845206720415721	0.213145524865846	3.94926331883515	7.83920793227236e-05	0.0243532865308722
"ENSG00000204262"	2367.18116303571	0.57795267835367	0.127468400163038	4.53316401589174	5.81066603405985e-06	0.00523589431885743
"ENSG00000151690"	744.156865493372	-0.493713453954765	0.137100407985717	-3.60011361600619	0.000318078165040194	0.0582945626877902
"ENSG00000115415"	3480.1167192104	0.565528106610988	0.117978813154144	4.79225889206261	1.64913902984763e-06	0.00222901754121781
"ENSG00000123983"	7652.90168686673	-0.341566866167426	0.102149243067215	-3.34377870622093	0.000826456330533331	0.0930882531464262
"ENSG00000067066"	1461.47253856058	0.408316780439632	0.111548354229625	3.65940278993264	0.000252803718238804	0.0499836124726549
"ENSG00000132182"	2345.46903428326	-0.391660623105274	0.111174995569723	-3.52332002078857	0.00042617643511087	0.0640323448237384
"ENSG00000163513"	3339.23295131349	-0.350161650677206	0.0947227867402622	-3.69667206948379	0.000218444218427289	0.0454237948818131
"ENSG00000249992"	5098.39520875256	0.412171623831643	0.123055714535138	3.34926118162565	0.000810273747421227	0.0922262108512182
"ENSG00000144821"	297.627277066926	0.93227560412069	0.228466772988163	4.06892642050033	4.72302583318471e-05	0.0170535140509232
