"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000273547"	0.216672954903261	-0.0115237264661587	0.183047132848979	-0.0629549684106019	0.949802363151036	NA
"ENSG00000187634"	10.0038210657635	1.46399071534226	0.534551017816407	2.54465236548609	0.0109386577852806	0.0353747655519625
"ENSG00000188976"	3652.09114860724	0.968971267455892	0.085440377178609	11.342703979761	8.06144538988966e-30	1.66088167935588e-27
"ENSG00000187961"	352.305055413382	0.544147669583905	0.163395981691457	3.32859365128226	0.000872856534629966	0.00410134742942696
"ENSG00000187583"	131.237924073363	-0.114934252174932	0.293055990892252	-0.39275543402106	0.694500123412914	0.815435715585497
"ENSG00000187642"	13.9269003474378	-0.351578357023048	0.507700421579172	-0.679947702641231	0.496537575441692	0.664828810732201
"ENSG00000188290"	223.361254956483	0.230557593350517	0.233011977142258	0.991816440085923	0.321287076462249	0.49898027429997
"ENSG00000187608"	2328.17261044288	2.22469699600828	0.238994050682	9.29012472492488	1.54107632104759e-20	1.08342777945118e-18
"ENSG00000188157"	1316.49093543871	0.434615043953522	0.109903058423427	3.95347896374134	7.70230384776351e-05	0.0004910011829726
"ENSG00000237330"	3.27799575806745	0.256131684903027	0.505104166255051	0.501443621796733	0.616058946217217	NA
"ENSG00000131591"	944.078271388736	0.387373548126743	0.133673270931399	2.90054018124222	0.00372520074281653	0.0142421721182836
"ENSG00000162571"	0.903277704275169	-0.153018947028815	0.280951626146661	-0.362485451391367	0.716989293495256	NA
"ENSG00000186891"	247.459803341278	0.630742862680711	0.220079697204517	2.87557492552035	0.00403292417178823	0.0152688002747117
"ENSG00000186827"	1.50335146067097	-0.168261721107011	0.414553155317198	-0.667922500685536	0.504183063737406	NA
"ENSG00000078808"	4644.55647419707	-0.167558717149776	0.105022302764393	-1.59557167850993	0.110584454894861	0.227166744316857
"ENSG00000176022"	1717.25697713399	0.272139452144285	0.0994310671508498	2.73660452924791	0.00620768696762809	0.0220140637049474
"ENSG00000184163"	3.85689932163334	0.0376248617701238	0.511481952192618	0.0569193079852748	0.954609473698117	NA
"ENSG00000160087"	2852.09534457108	0.681252368927271	0.0887334390925125	7.67783282866387	1.61802444984692e-14	5.94103333886863e-13
"ENSG00000162572"	119.806373487382	0.647233704011348	0.275030559584517	2.33686563132998	0.019446171900249	0.0572123193114427
"ENSG00000131584"	1218.24964181113	0.0370763193277155	0.126896889209443	0.291453763471564	0.770704300981543	0.866963952022491
"ENSG00000169972"	563.784913281283	0.135032831959788	0.138452664332178	0.977917989463203	0.328114887009708	0.50558390297102
"ENSG00000127054"	2074.14994046547	0.332114389113838	0.090862515411177	3.65684190131029	0.000255341758108708	0.00140442700770655
"ENSG00000224051"	2204.71037490441	0.255539429616084	0.106610502245371	2.3965172669425	0.0165517136128732	0.0501794644866872
"ENSG00000169962"	67.2540696728199	2.26003806184896	0.350687461350387	6.25933455528573	3.86623653737545e-10	7.27814121769384e-09
"ENSG00000107404"	2159.82604960449	-0.120878909796164	0.102969804293134	-1.17376320793754	0.240489884667904	0.407101101125606
"ENSG00000162576"	200.127695196685	0.580752111043861	0.190205250387104	3.04932857682224	0.00229353482868681	0.0094218486980726
"ENSG00000175756"	4358.29303857834	0.643928220415014	0.0962697494344477	6.68962071210355	2.23749754293726e-11	5.17800913446667e-10
"ENSG00000221978"	6140.25891357871	0.106876528800674	0.109118559644826	0.9790870779148	0.327536955906103	0.505060247780966
"ENSG00000242485"	2102.69151699633	0.491689751263995	0.110843087338033	4.43768518907437	9.0931479519314e-06	7.31892331627511e-05
"ENSG00000235098"	1.64978380943325	-0.000788972443230132	0.209143570713458	-0.0693363073526819	0.944721926177956	NA
"ENSG00000179403"	118.927326768488	0.274638700222867	0.256557473845191	1.07221691777887	0.283622613383945	0.457957749748279
"ENSG00000215915"	2.43839681601044	-0.146039656911346	0.442819968693709	-0.444515483698981	0.656669936815557	NA
"ENSG00000160072"	1140.26560146119	0.787257788586901	0.119557566563863	6.59074056506832	4.37638049479428e-11	9.61766344589308e-10
"ENSG00000197785"	1796.61626774167	0.320726897105199	0.0966859256110174	3.3206567403189	0.000898059158707368	0.00419981385884776
"ENSG00000205090"	1.82469624743187	0.218969347014868	0.445007903624021	0.315751933368098	0.752190804514948	NA
"ENSG00000160075"	6914.23094030462	0.100073932505546	0.077954559653031	1.28386302815551	0.199189885533481	0.355011710736927
"ENSG00000228594"	57.4513197711947	-0.236257882292766	0.523436413421013	-0.415809611561008	0.677549325054425	0.804632548935056
"ENSG00000197530"	1618.72175684788	-0.0582214922565975	0.128336364995545	-0.454295117832048	0.649616429542844	0.783511677033787
